,Accuracy,Precision,Recall,F1 Score,AUC
SVM,0.9894736842105264,0.9875,0.9875,0.9875,0.9997727272727274
Naive Bayes,0.9736842105263158,0.9746835443037974,0.9625,0.9685534591194968,0.9981818181818182
MLP,0.9789473684210528,0.9523809523809524,1.0,0.975609756097561,0.9978409090909092
CNN,0.9842105263157894,0.9753086419753086,0.9875,0.9813664596273292,0.9988636363636364
LSTM,0.9473684210526316,0.9069767441860463,0.975,0.9397590361445785,0.9971590909090908
VCQ,1.0,1.0,1.0,1.0,1.0

